title,pdf_url,excel_url,source,year
LMS+Q3_2025+AR.pdf,https://www.stats.gov.sa/documents/20117/2435273/LMS+Q3_2025+AR.pdf/0e0e1e08-a61a-d2cc-fb31-9c49b5d74a1f?t=1766985862794,,Saudi Statistics,2025
Labor+Market+Statistics+Q3_2025+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/Labor+Market+Statistics+Q3_2025+AR.xlsx/d8d71342-1568-498b-82ca-f81f6f2fed9d?t=1766986111682,Saudi Statistics,2025
LMS+Q2_2025_AR.pdf,https://www.stats.gov.sa/documents/20117/2435273/LMS+Q2_2025_AR.pdf/f8da72b4-3646-095a-c7fe-88c0aeb8ee91?t=1759133543922,,Saudi Statistics,2025
Labor+Market+Statistics+Q2+2025+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/Labor+Market+Statistics+Q2+2025+AR.xlsx/8be30594-34d2-e163-f0d2-4b52cf5fb4d1?t=1759134917461,Saudi Statistics,2025
LMS+Q1_2025_PR_AR+Press+Release+%281%29.pdf,https://www.stats.gov.sa/documents/20117/2435273/LMS+Q1_2025_PR_AR+Press+Release+%281%29.pdf/9cc55d98-c3e2-483b-9034-455a73e091c2?t=1756668153498,,Saudi Statistics,2025
Labor+Market+Statistics+Q1+2025+-+AR+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/Labor+Market+Statistics+Q1+2025+-+AR+%281%29.xlsx/a910e527-0b4f-d149-0fd9-9540bb4c616a?t=1756668176655,Saudi Statistics,2025
LMS+Q4_2024_PR_AR+Press+Release+%282%29.pdf,https://www.stats.gov.sa/documents/20117/2435273/LMS+Q4_2024_PR_AR+Press+Release+%282%29.pdf/0be13d03-4b43-93e6-de22-fc3397eee007?t=1756667828641,,Saudi Statistics,2024
Labor+Market+Statistics+Q4+2024+-+AR+%281%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/Labor+Market+Statistics+Q4+2024+-+AR+%281%29.xlsx/f1d3bcbc-0b8e-99cb-4275-b53b5ac1b8da?t=1756667852507,Saudi Statistics,2024
LMS+Q3_2024_PR_AR+Press+Release.pdf,https://www.stats.gov.sa/documents/20117/2435273/LMS+Q3_2024_PR_AR+Press+Release.pdf/1eaea874-a7a5-9ebb-7acf-b29b3968c503?t=1756667275754,,Saudi Statistics,2024
Labor+Market+Statistics+Q3+2024+AR+%282%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/Labor+Market+Statistics+Q3+2024+AR+%282%29.xlsx/e3f93113-add0-f3b2-d47d-080af752347b?t=1756667303168,Saudi Statistics,2024
LMS+Q2_2024_PR_AR_0.pdf,https://www.stats.gov.sa/documents/20117/2435277/LMS+Q2_2024_PR_AR_0.pdf/3f87ce57-bdef-770d-5035-470dbdba604c?t=1735041313544,,Saudi Statistics,2024
LM+tables_Q2_2024_AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q2_2024_AR.xlsx/d1b85138-0584-8bb3-816f-c68a77d4a0d9?t=1756667099209,Saudi Statistics,2024
LMS+Q1_2024_PR_AR_0.pdf,https://www.stats.gov.sa/documents/20117/2435277/LMS+Q1_2024_PR_AR_0.pdf/feb1d432-5596-683c-7eac-29240676b70e?t=1735041313516,,Saudi Statistics,2024
LM+tables_Q1_2024_AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q1_2024_AR.xlsx/a062cb3b-d816-354d-7fca-bd0f6e4f2490?t=1756666918335,Saudi Statistics,2024
LM+tables_Q4_2023_AR+%28%25%29_0.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q4_2023_AR+%28%25%29_0.xlsx/cbea5742-2a05-8f60-42d2-57e1b2fea66c?t=1735232030205,Saudi Statistics,2023
LM+tables_Q3_2023_AR+%28%25%29_0.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q3_2023_AR+%28%25%29_0.xlsx/1b37ee4c-be07-95d6-e812-9f958905f2de?t=1735231807192,Saudi Statistics,2023
LM+tables_Q2_2023_AR%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q2_2023_AR%28%25%29.xlsx/9b44b6a0-53df-787b-c631-43789f25c7bd?t=1735231515569,Saudi Statistics,2023
LM+tables_Q1_2023_AR%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q1_2023_AR%28%25%29.xlsx/107ae2c0-a733-b60d-95c4-c9034b0819e1?t=1735231324391,Saudi Statistics,2023
LM+tables_Q4_2022_AR_1_%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q4_2022_AR_1_%28%25%29.xlsx/1667ce7f-bd55-a93b-d812-735c40c3908f?t=1735232787036,Saudi Statistics,2022
LM+tables_Q3_2022_AR_1_%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q3_2022_AR_1_%28%25%29.xlsx/3e5a1b62-1c78-e153-20ab-67e0da7a151a?t=1735232583541,Saudi Statistics,2022
LM+tables_Q2_2022_AR_%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q2_2022_AR_%28%25%29.xlsx/7105f16c-a956-5f12-f794-32f977a709d9?t=1735232426186,Saudi Statistics,2022
LM+tables_Q1_2022_AR_1+%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q1_2022_AR_1+%28%25%29.xlsx/b83876aa-fe3b-0b52-4a7e-b856e2b3e629?t=1735232193063,Saudi Statistics,2022
LM+tables_Q4_2021_AR_1.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q4_2021_AR_1.xlsx/77a702ae-ca14-d9c7-7163-69e188577c91?t=1748263578171,Saudi Statistics,2021
LM+tables_Q3_2021_AR_1_%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q3_2021_AR_1_%28%25%29.xlsx/9b7640df-2f5e-0382-c774-dda482fd94b5?t=1748263363288,Saudi Statistics,2021
LM+tables_Q2_2021_AR_%28%25%29%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q2_2021_AR_%28%25%29%29.xlsx/5255e0e5-90e9-6494-8c08-c35769409f3e?t=1748263189188,Saudi Statistics,2021
LM+tables_Q1_2021_AR_%28%25%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435273/LM+tables_Q1_2021_AR_%28%25%29.xlsx/66071bf6-4aba-a79c-1111-26099437e368?t=1748263005312,Saudi Statistics,2021
Warehousing+and+Logistics+Statistics+2024+AR.pdf,https://www.stats.gov.sa/documents/20117/2435281/Warehousing+and+Logistics+Statistics+2024+AR.pdf/724ffd17-8f76-f767-37ad-ec5fc79d2eb6?t=1766033437414,,Saudi Statistics,2024
Warehouseing+and+Logistics+Statistics+2024+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435281/Warehouseing+and+Logistics+Statistics+2024+AR.xlsx/386a110c-2ab7-228d-704e-ea114df270e2?t=1766033488219,Saudi Statistics,2024
Warehousing+and+Logistics+Statistics+2023+AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/Warehousing+and+Logistics+Statistics+2023+AR.pdf/b1eb169d-f2f1-f329-0865-441e3eb52630?t=1735202685115,,Saudi Statistics,2023
Warehousing+and+Logistics+Statistics+2023+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/Warehousing+and+Logistics+Statistics+2023+AR.xlsx/b1f35864-b098-34cc-bef2-ae3b9eaa12c5?t=1735202697269,Saudi Statistics,2023
%E2%80%8F%E2%80%8FBCI+Apr+2026+AR+%282%29.pdf,https://www.stats.gov.sa/documents/20117/2435267/%E2%80%8F%E2%80%8FBCI+Apr+2026+AR+%282%29.pdf/c3fce96b-8b60-c369-187a-e5b2d2dab9b9?t=1778132402015,,Saudi Statistics,2026
Business+Confidence+Index+AR_EN+%285%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/Business+Confidence+Index+AR_EN+%285%29.xlsx/8470934a-36d5-bbf3-74b7-a36b7002c461?t=1778053810942,Saudi Statistics,Unknown
BCI+MAR+2026+AR1.pdf,https://www.stats.gov.sa/documents/20117/2435267/BCI+MAR+2026+AR1.pdf/fea1df1c-9d2c-2343-3d04-5db1e26eed04?t=1775711070490,,Saudi Statistics,2026
Business+Confidence+Index+AR_EN+%283%29.xlsx,,https://www.stats.gov.sa/documents/20117/2435267/Business+Confidence+Index+AR_EN+%283%29.xlsx/e0542966-b9d0-2f63-4d74-5500fb5cb749?t=1777287099302,Saudi Statistics,Unknown
BCI+feb+2026+AR.pdf,https://www.stats.gov.sa/documents/20117/2435267/BCI+feb+2026+AR.pdf/a97b610e-bad1-f5e6-f85d-41d85f41e66f?t=1772957684408,,Saudi Statistics,2026
